trip_id,start_time,end_time,headway_secs,exact_times
CMRL_1_weekday_d0_05,05:00:00,08:00:00,360,0
CMRL_1_weekday_d0_08,08:00:00,11:00:00,420,0
CMRL_1_weekday_d0_11,11:00:00,17:00:00,600,0
CMRL_1_weekday_d0_17,17:00:00,20:00:00,360,0
CMRL_1_weekday_d0_20,20:00:00,22:00:00,420,0
CMRL_1_weekday_d0_22,22:00:00,23:00:00,900,0
CMRL_1_weekday_d1_05,05:00:00,08:00:00,360,0
CMRL_1_weekday_d1_08,08:00:00,11:00:00,420,0
CMRL_1_weekday_d1_11,11:00:00,17:00:00,600,0
CMRL_1_weekday_d1_17,17:00:00,20:00:00,360,0
CMRL_1_weekday_d1_20,20:00:00,22:00:00,420,0
CMRL_1_weekday_d1_22,22:00:00,23:00:00,900,0
CMRL_1_saturday_d0_05,05:00:00,08:00:00,420,0
CMRL_1_saturday_d0_08,08:00:00,11:00:00,720,0
CMRL_1_saturday_d0_11,11:00:00,17:00:00,840,0
CMRL_1_saturday_d0_17,17:00:00,20:00:00,720,0
CMRL_1_saturday_d0_20,20:00:00,22:00:00,840,0
CMRL_1_saturday_d0_22,22:00:00,23:00:00,1800,0
CMRL_1_saturday_d1_05,05:00:00,08:00:00,420,0
CMRL_1_saturday_d1_08,08:00:00,11:00:00,720,0
CMRL_1_saturday_d1_11,11:00:00,17:00:00,840,0
CMRL_1_saturday_d1_17,17:00:00,20:00:00,720,0
CMRL_1_saturday_d1_20,20:00:00,22:00:00,840,0
CMRL_1_saturday_d1_22,22:00:00,23:00:00,1800,0
CMRL_1_sunday_d0_05,05:00:00,12:00:00,600,0
CMRL_1_sunday_d0_12,12:00:00,20:00:00,840,0
CMRL_1_sunday_d0_20,20:00:00,22:00:00,600,0
CMRL_1_sunday_d0_22,22:00:00,23:00:00,900,0
CMRL_1_sunday_d1_05,05:00:00,12:00:00,600,0
CMRL_1_sunday_d1_12,12:00:00,20:00:00,840,0
CMRL_1_sunday_d1_20,20:00:00,22:00:00,600,0
CMRL_1_sunday_d1_22,22:00:00,23:00:00,900,0
CMRL_2_weekday_d0_05,05:00:00,08:00:00,360,0
CMRL_2_weekday_d0_08,08:00:00,11:00:00,420,0
CMRL_2_weekday_d0_11,11:00:00,17:00:00,600,0
CMRL_2_weekday_d0_17,17:00:00,20:00:00,360,0
CMRL_2_weekday_d0_20,20:00:00,22:00:00,420,0
CMRL_2_weekday_d0_22,22:00:00,23:00:00,900,0
CMRL_2_weekday_d1_05,05:00:00,08:00:00,360,0
