route_id,route_short_name,route_long_name,route_type,agency_id
18750,12G,Sathya Nagar TO Lady Willingdon College Of Education,3,69
23728,11 R,Royapuram TO Thiyagarayanagar,3,69
20494,15 CT8,Anna Nagar West TO M.G.R.Koyambedu,3,69
18761,T23C CT,Saidapet TO Ayanavaram,3,69
11919,55K,Tambaram West TO Guduvanchery,3,69
4946,579K,Walajabad TO Tambaram,3,69
20496,21 CT1,Guindy Industrial  TO  Royapuram,3,69
18762,T23C,Thiruvanmiyur TO Ayanavaram,3,69
10684,104T,T.V.K.Nagar TO Otteri,3,69
18763,T23C CT1,Thiruvanmiyur TO Egmore,3,69
15885,570ET,Anna Nagar West TO M.G.R.Koyambedu,3,69
13402,S43,Pudur TO Villivakkam,3,69
19805,S90,Tambaram West B.S TO Gundumedu,3,69
17675,579K,Kilambakkam B.T TO Walajabad,3,69
12581,70H,Hasthinapuram TO M.G.R.Koyambedu,3,69
11791,549,Thiruvanmiyur TO Sriperumbudur,3,69
15127,19C,Okk.Thoraipakm Sec.Colony TO Adyar B.T,3,69
17957,95X,Kilambakkam B.S TO Shozhanganallur,3,69
13298,S25,Vadapalani TO Valasaravakkam,3,69
13301,S25,Valasaravakkam TO Vadapalani,3,69
3516,95X,Tambaram East Bus Stop TO Shozhanganallur,3,69
18769,88CEt,Thyagaraya Nagar TO Iyyappanthangal,3,69
23735,154P,Thyagaraya Nagar TO Pattur,3,69
18770,88CEt,Thyagaraya Nagar TO Nandambakkam Village,3,69
23736,154P,Pattur TO Thyagaraya Nagar,3,69
11790,549,Thiruvanmiyur TO Poonamallee B.T,3,69
17956,99X,Kilambakkam B.S TO Semmenchery,3,69
17678,549,Poonamallee B.T TO Sriperumbudur,3,69
17679,579C,Tambaram Sanatorium TO Walajabad,3,69
18783,129C,Perambur B.T TO Besant Nagar,3,69
18787,29B CT,Madhavaram Milk Colony TO L.F.C,3,69
18788,29B CT,Madhavaram Milk Colony Main Gate TO Gemini,3,69
18789,29C CT,Perambur B.T TO Mandaveli,3,69
18790,29CEt CT1,Perambur B.T TO Besant Nagar,3,69
18794,T29C CT,Perambur Bus Terminus TO Mandaveli,3,69
18797,19 CT4,Kelambakkam TO Adyar,3,69
11724,523,Perunthandalam TO Sholinganallur,3,69
11725,523,Sholinganallur TO Mullipakkam,3,69
18802,10E,Saidapet West TO M.G.R.Central,3,69
18804,500W,Saidapet West TO Tambaram West,3,69
11735,523A,Karumbakkam TO Thiruporur,3,69
11739,523A,Thiruporur TO Karumbakkam,3,69
11741,523A,Thiruvanmiyur TO Devi Karumariamman Temple,3,69
11745,523A,Thiruvanmiyur TO Karumbakkam,3,69
12820,77V,Ambattur I.E TO M.G.R.Koyambedu,3,69
12824,77V,Veppampattu E.Waran Nagar TO Ambattur I.E,3,69
10579,104G,Ambattur I.E TO Kilambakkam B.T,3,69
18817,45B CT,Mugalivakkam Mm Temple TO Vivekananda House,3,69
17501,3,Thiyagaraya Nagar TO Saidapet Depot,3,69
16552,3,Kannagi Nagar Bus Stand TO Thiruvanmiyur Bus Stand,3,69
18818,45B CT1,Guindy Tvk Estate TO Anna Square,3,69
18820,A45B CT,Guindy Tvk Estate TO Vivekananda House,3,69
18821,45B CT2,Guindy Tvk Estate TO Vivekananda House,3,69
20519,102K CT2,Adyar B.T TO Ezhil Nagar,3,69
18824,A45B CT1,Cement Road TO Anna Square,3,69
18826,12B CT1,Vadapalani TO Luz,3,69
23750,21G CT2,Kilambakkam Bus Terminus TO Besant Nagar Terminus,3,69
20520,102K CT3,Adyar TO Kannagi Nagar S.C.B,3,69
20521,102K CT4,Ezhil Nagar TO Adyar B.T,3,69
16906,51,Thyagaraya Nagar TO Tambaram West,3,69
16915,51,Tambaram West TO Thyagaraya Nagar,3,69
13387,S41,Ambattur I.E TO Avadi B.T,3,69
13388,S41,Ambedkar Statue TO Avadi B.T,3,69
13389,S41,Avadi B.T TO Ambattur I.E,3,69
18837,2B CT,Vyasarpadi Depot TO Kaviarasu Kannadasan Nagar Bus Stand,3,69
23757,21G CT3,Tambaram West Bus Stand TO Besant Nagar Terminus,3,69
17697,S58,Thirumullaivoyal Colony TO Ambattur I.E,3,69
20527,102K CT10,Kannagi Nagar S.C.B TO Adyar,3,69
17340,565,Avadi TO Sriperumbudur,3,69
18841,2B CT1,Kaviarasu Kannadasan Nagar Bus Stand TO Vyasarpadi Depot,3,69
23760,21G CT2,Besant Nagar TO Kilambakkam,3,69
17338,565,Sriperumbudur TO Avadi,3,69
9953,547,Redhills TO Siruvapuri,3,69
17705,79V,Tambaram Sanatorium TO Walajabad,3,69
12477,66K,Kilambakkam B.T TO Tambaram West,3,69
17704,297,Thiruvallur TO Kilambakkam B.T,3,69
18859,101 CT3,Poonamallee TO Thangal Tollgate,3,69
12855,79V,Walajabad TO Tambaram Sanatorium,3,69
12857,79V,Tambaram West TO Venbakkam,3,69
