stop_id,stop_name,stop_lat,stop_lon
9831,Anna Nagar West Depot,13.09370,80.19842
824,Blue Star Othavadi Street,13.08858,80.27576
840,Broadway,13.08762,80.28383
11,Alandur Depot,12.99708,80.19136
1242,Elephant Gate,13.09168,80.27509
1243,Elephant Gate,13.09165,80.27537
9158,Foreshore Estate Bus Terminus,13.02264,80.27635
823,Blue Star Othavadi Street,13.08854,80.27541
10470,Madhavaram Bus Depot,13.13241,80.23690
5934,Poonjeri Koot Road,12.61479,80.17210
5535,Adyar Depot,12.99780,80.25617
10496,Tollgate,13.14446,80.29698
8936,Alandur Depot,12.99583,80.18871
5340,Madhavaram Depot,13.13207,80.23685
82,Mgr Central Railway Station,13.08179,80.27525
8929,Alandur Depot,12.99719,80.19060
13,Annanagar Depot,13.09567,80.19791
10467,Madhavaram Bus Depot,13.13200,80.23708
6944,Peravallur,13.11595,80.23150
6945,Peravallur,13.11603,80.23180
5292,Vyasarpadi Sathiyamoorthy Nagar,13.11957,80.26583
6461,Perumbakkam,12.88660,80.21035
7012,Vyasarpadi Sathiyamoorthy Nagar,13.12273,80.26575
5345,Perumbakkam Depot,12.88775,80.20880
5351,Tondairpet-1 Depot,13.13131,80.29319
5852,Thirumazhisai Bus Stand,13.05591,80.05667
3,Broadway,13.08822,80.28380
5293,Vyasarpadi Sidco,13.13149,80.25279
10890,Cement Road,12.99568,80.18907
8805,Thiruvanmiyur Depot,12.98750,80.25919
9409,Kamarajar Illam,13.04857,80.23996
78,Metrological Department Sterling Road,13.06784,80.24649
10991,Meenambakkam,12.98687,80.17562
5398,Nsk Nagar Main Road,13.07534,80.21648
9919,Ambattur Industrial Estate,13.09931,80.17033
9921,Ambattur Industrial Estate,13.09968,80.17031
9341,Ashok Nagar Canara Bank,13.03986,80.21209
10231,Brindavan Street,13.04226,80.22463
5616,Joint Office,13.09983,80.22991
5666,Joint Office,13.09960,80.22983
5955,Salmon Kuppam,12.65490,80.20678
9410,Kamarajar Illam,13.04774,80.24002
5614,Kambar Arangam,13.09933,80.21976
5668,Kambar Arangam,13.09908,80.21947
5908,Thiruvanmiyur Bus Stand,12.98695,80.25929
5669,Icf,13.10009,80.21555
5613,Icf,13.10035,80.21584
10163,Kundrathur Nalu Road Or Kolachery Junction,13.00369,80.09977
10162,Kundrathur Nalu Road Or Kolachery Junction,13.00335,80.09978
10536,Manali Bus Terminus,13.17012,80.25743
7522,Mathur Gate,13.16672,80.24536
7524,Mathur Gate,13.16691,80.24586
6632,Medavakkam Koot Road,12.92035,80.18380
6631,Medavakkam Koot Road,12.92020,80.18392
7536,Pammadukulam Pothur,13.16827,80.15496
7535,Pammadukulam Pothur,13.16825,80.15468
7681,Redhills Market,13.18922,80.18757
7687,Redhills Market,13.18974,80.18740
5665,Noor Hotel,13.09841,80.23502
5913,Adyar Depot,12.99910,80.25638
9991,Kilambakkam Bus Terminus,12.87351,80.07858
10534,Manali Bus Terminus,13.16998,80.25722
10876,Kilambakkam Depot,12.87309,80.07951
5910,Adyar Depot,12.99880,80.25588
5820,Foreshore Estate Bus Stop,13.02537,80.27483
10312,Thirumangalam Or Sunguvarchattram,13.08547,80.19910
5694,Blue Star,13.08478,80.21093
5677,Thirumangalam Eb Office,13.08732,80.19757
9757,Kandaswami Naidu College,13.08552,80.21787
9856,Gandhi Nagar Hospital,13.09591,80.21907
8004,Periyar Nagar,13.26939,80.03395
6985,S R B Colony,13.11858,80.22616
8653,San Academy,12.97597,80.21233
10129,A.G.S 4th Cross Street,12.97780,80.21001
9122,Arasamaram 1,13.02080,80.16630
6125,Kelambakkam V A O Office,12.79383,80.22260
5958,Pandithamedu Village,12.66352,80.17763
9738,Royal Club,13.08427,80.14319
9764,Chinna Koladi Road Junction,13.08636,80.13509
5597,Pondy Bazar Globus,13.04013,80.24331
7151,Tondiarpet Power House,13.12867,80.27871
7141,Tondiarpet Appartment,13.12828,80.28170
6643,Selaiyur,12.92239,80.13835
5726,Bhaktavatsalam Memorial College,13.10810,80.18347
8715,Bhakthavatchalam Nagar,12.98055,79.93733
8662,Apollo Pharmacy,12.97622,80.14503
8658,Tangarathinam Sweet Stall,12.97616,80.14514
8628,Booth S5 Pallavaram Police Station,12.97354,80.14703
5660,Motcham Theatre Or Grt,13.08589,80.25018
9457,Saveetha Hospital,13.05361,80.12356
7343,Madhavaram Rountana,13.14402,80.22108
7277,Kalpana Lamps,13.13881,80.22788
7744,Dwarka Nagar Elementary School,13.19699,80.26964
7323,Thangaya Gate,13.14217,80.08766
7301,Military Hospital Avadi,13.14045,80.09334
8791,Anjaneyar Temple,12.98644,80.19257
8732,Vanuvambedu,12.98154,80.19532
8887,St Thomas Mount Railway Station,12.99443,80.20019
8827,Kakkan Bridge,12.98924,80.20486
8862,Jayalaksmi Theatre,12.99147,80.19870
9064,Labour Colony,13.01511,80.21485
9512,Triplicane Post Office,13.06054,80.27425
5909,Jayanthi Theatre,12.98872,80.25585
8993,Adyar Signal,13.00639,80.25756
8921,Vannandurai,12.99621,80.26274
8905,Indira Nagar Adyar,12.99538,80.25302
5805,Adyar Old Depot,13.00652,80.25378
5813,B Ramachandra Adithanar Road,13.00977,80.24897
5750,Madhya Kailash,13.00681,80.24674
10200,Chamiers Road Or Venkateswara Hospital,13.02975,80.24341
1739,Kaliyappa Hospital,13.02718,80.25441
8994,Adyar Signal,13.00648,80.25737
5760,Adyar Signal,13.00715,80.25884
8881,Madha College Back Gate,12.99390,80.12431
5759,Arunachalapuram,13.00877,80.25922
