route_id,route_short_name,route_long_name,route_type,agency_id
18751,29A,Anna Square TO Perambur B.T,3,69
18750,12G,Sathya Nagar TO Lady Willingdon College Of Education,3,69
23728,11 R,Royapuram TO Thiyagarayanagar,3,69
18753,22 CT,Anna Square TO Ayanavaram,3,69
20494,15 CT8,Anna Nagar West TO M.G.R.Koyambedu,3,69
23729,13 R,Island ground TO Thiyagarayanagar,3,69
18755,29A CT,Secretariat TO Perambur B.T,3,69
18756,29D,Vivekananda House TO Mathur M.M.D.A.,3,69
18758,40A CT,Anna Square TO Avadi B.T,3,69
18761,T23C CT,Saidapet TO Ayanavaram,3,69
4946,579K,Walajabad TO Tambaram,3,69
11919,55K,Tambaram West TO Guduvanchery,3,69
20496,21 CT1,Guindy Industrial  TO  Royapuram,3,69
18762,T23C,Thiruvanmiyur TO Ayanavaram,3,69
10684,104T,T.V.K.Nagar TO Otteri,3,69
23732,154 R1,Thyagaraya Nagar TO Poonamallee B.T,3,69
18763,T23C CT1,Thiruvanmiyur TO Egmore,3,69
23733,154 R,Poonamallee B.T TO Thyagaraya Nagar,3,69
15885,570Et,Anna Nagar West TO M.G.R.Koyambedu,3,69
13402,S43,Pudur TO Villivakkam,3,69
17675,579K,Kilambakkam B.T TO Walajabad,3,69
18764,12X,Foreshore Estate TO M.G.R.Koyambedu,3,69
19805,S90,Tambaram West B.S TO Gundumedu,3,69
12581,70H,Hasthinapuram TO M.G.R.Koyambedu,3,69
11791,549,Thiruvanmiyur TO Sriperumbudur,3,69
17676,170Tx,Kaviarasu Kannadasan Nagar TO M.G.R.Koyambedu,3,69
16303,170Tx,Moolakadai TO Kilambakkam B.S,3,69
15127,19C,Okk.Thoraipakm Sec.Colony TO Adyar B.T,3,69
17957,95X,Kilambakkam B.S TO Shozhanganallur,3,69
13298,S25,Vadapalani TO Valasaravakkam,3,69
13301,S25,Valasaravakkam TO Vadapalani,3,69
3516,95X,Tambaram East Bus Stop TO Shozhanganallur,3,69
13304,S25,Valasaravakkam TO Maduravoyal Market,3,69
18769,88CEt,Thyagaraya Nagar TO Iyyappanthangal,3,69
23735,154P,Thyagaraya Nagar TO Pattur,3,69
18770,88CEt,Thyagaraya Nagar TO Nandambakkam Village,3,69
23736,154P,Pattur TO Thyagaraya Nagar,3,69
11788,549,Poonamallee B.T TO Thiruvanmiyur,3,69
11789,549,Sriperumbudur TO Thiruvanmiyur,3,69
11790,549,Thiruvanmiyur TO Poonamallee B.T,3,69
17956,99X,Kilambakkam B.S TO Semmenchery,3,69
17678,549,Poonamallee B.T TO Sriperumbudur,3,69
17679,579C,Tambaram Sanatorium TO Walajabad,3,69
18783,129C,Perambur B.T TO Besant Nagar,3,69
18787,29B CT,Madhavaram Milk Colony TO L.F.C,3,69
18788,29B CT,Madhavaram Milk Colony Main Gate TO Gemini,3,69
18789,29C CT,Perambur B.T TO Mandaveli,3,69
18790,29CEt CT1,Perambur B.T TO Besant Nagar,3,69
18794,T29C CT,Perambur Bus Terminus TO Mandaveli,3,69
19820,147C,Thiyagarayanagar To  Ambattur I.E,3,69
18797,19 CT4,Kelambakkam TO Adyar,3,69
