shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
CMRL_1_0,13.183971,80.308994,0,0
CMRL_1_0,13.17929,80.307344,1,550.3
CMRL_1_0,13.171803,80.305226,2,1413.8
CMRL_1_0,13.165144,80.303538,3,2176.5
CMRL_1_0,13.160215,80.30244,4,2737.3
CMRL_1_0,13.15452,80.300927,5,3391.4
CMRL_1_0,13.148703,80.2994,6,4059.0
CMRL_1_0,13.142521,80.296063,7,4835.6
CMRL_1_0,13.135847,80.29231,8,5681.7
CMRL_1_0,13.128798,80.288949,9,6545.9
CMRL_1_0,13.108962,80.277531,10,9074.5
CMRL_1_0,13.088011,80.268435,11,11603.9
CMRL_1_0,13.081767,80.27391,12,12517.0
CMRL_1_0,13.069338,80.272086,13,13913.0
CMRL_1_0,13.064762,80.26625,14,14724.5
CMRL_1_0,13.057176,80.26153,15,15710.9
CMRL_1_0,13.0457,80.254562,16,17193.5
CMRL_1_0,13.0368,80.246419,17,18519.2
CMRL_1_0,13.030976,80.241073,18,19388.0
CMRL_1_0,13.021404,80.231981,19,20838.1
CMRL_1_0,13.012085,80.223243,20,22241.7
CMRL_1_0,13.008602,80.218687,21,22869.1
CMRL_1_0,13.004256,80.206136,22,24312.2
CMRL_1_0,12.995455,80.1996,23,25520.2
CMRL_1_0,12.987673,80.176479,24,28170.5
CMRL_1_0,12.980809,80.164203,25,29704.1
CMRL_1_1,12.980809,80.164203,0,0
CMRL_1_1,12.987673,80.176479,1,1533.6
CMRL_1_1,12.995455,80.1996,2,4183.9
CMRL_1_1,13.004256,80.206136,3,5391.9
CMRL_1_1,13.008602,80.218687,4,6835.0
CMRL_1_1,13.012085,80.223243,5,7462.4
CMRL_1_1,13.021404,80.231981,6,8865.9
CMRL_1_1,13.030976,80.241073,7,10316.1
CMRL_1_1,13.0368,80.246419,8,11184.9
CMRL_1_1,13.0457,80.254562,9,12510.6
CMRL_1_1,13.057176,80.26153,10,13993.2
CMRL_1_1,13.064762,80.26625,11,14979.6
CMRL_1_1,13.069338,80.272086,12,15791.0
CMRL_1_1,13.081767,80.27391,13,17187.1
CMRL_1_1,13.088011,80.268435,14,18100.2
CMRL_1_1,13.108962,80.277531,15,20629.6
CMRL_1_1,13.128798,80.288949,16,23158.2
CMRL_1_1,13.135847,80.29231,17,24022.4
CMRL_1_1,13.142521,80.296063,18,24868.5
CMRL_1_1,13.148703,80.2994,19,25645.1
CMRL_1_1,13.15452,80.300927,20,26312.7
CMRL_1_1,13.160215,80.30244,21,26966.8
CMRL_1_1,13.165144,80.303538,22,27527.6
CMRL_1_1,13.171803,80.305226,23,28290.3
CMRL_1_1,13.17929,80.307344,24,29153.8
CMRL_1_1,13.183971,80.308994,25,29704.1
CMRL_2_0,13.081767,80.27391,0,0
CMRL_2_0,13.080289,80.263054,1,1187.2
CMRL_2_0,13.078784,80.250473,2,2560.1
CMRL_2_0,13.074342,80.242421,3,3562.4
CMRL_2_0,13.070686,80.235973,4,4370.5
CMRL_2_0,13.066519,80.229087,5,5248.6
CMRL_2_0,13.057808,80.220368,6,6601.4
CMRL_2_0,13.051308,80.211329,7,7818.4
CMRL_2_0,13.044983,80.202075,8,9042.9
CMRL_2_0,13.035483,80.197363,9,10216.2
CMRL_2_0,13.028636,80.195242,10,11011.4
CMRL_2_0,13.0685,80.2041,11,15546.8
CMRL_2_0,13.0616,80.212,12,16696.1
CMRL_2_0,13.0539,80.2153,13,17623.9
CMRL_2_0,13.037265,80.209551,14,19575.6
CMRL_2_0,13.017128,80.205302,15,21861.6
CMRL_2_0,13.004256,80.206136,16,23295.7
CMRL_2_0,13.000739,80.197151,17,24344.8
CMRL_2_1,13.000739,80.197151,0,0
CMRL_2_1,13.004256,80.206136,1,1049.1
CMRL_2_1,13.017128,80.205302,2,2483.2
CMRL_2_1,13.037265,80.209551,3,4769.2
CMRL_2_1,13.0539,80.2153,4,6720.9
CMRL_2_1,13.0616,80.212,5,7648.8
CMRL_2_1,13.0685,80.2041,6,8798.1
CMRL_2_1,13.028636,80.195242,7,13333.4
CMRL_2_1,13.035483,80.197363,8,14128.7
CMRL_2_1,13.044983,80.202075,9,15301.9
CMRL_2_1,13.051308,80.211329,10,16526.4
CMRL_2_1,13.057808,80.220368,11,17743.4
CMRL_2_1,13.066519,80.229087,12,19096.2
CMRL_2_1,13.070686,80.235973,13,19974.3
CMRL_2_1,13.074342,80.242421,14,20782.4
CMRL_2_1,13.078784,80.250473,15,21784.7
CMRL_2_1,13.080289,80.263054,16,23157.6
CMRL_2_1,13.081767,80.27391,17,24344.8
